Afghanistan,8236.082,6969692,2010
Armenia,4220.717,6669692,2010
Austria,66897.081,6979692,2010
Belgium,108946.57,6969892,2010
Bolivia,15456.405,6968692,2010
Brazil,419754.156,69696992,2010
Canada,499137.372,6939692,2010
Chile,72258.235,8969692,2010
Colombia,75679.546,6969692,2010
Cuba,38364.154,6969699,2010
Denmark,46303.209,7969692,2010
Ecuador,32636.3,9969692,2010
Finland,61843.955,6969672,2010
Germany,745383.756,6769692,2010
Honduras,8107.737,6969692,2010
Italy,406307.267,6369692,2010
Japan,1170715.419,6169692,2010
Korea,567567.259,2969692,2010
Liberia,799.406,6969692,2010
Mexico,443673.997,7969692,2010
Mozambique,2882.262,9969692,2010
Nepal,3755.008,4969692,2010
Nicaragua,4547.08,969692,2010
Peru,57579.234,83969692,2010
